Title,Author,Length
Not a Very Good Murderer,Ronan Farrow,4 hrs and 17 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,18 hrs and 32 mins
Eyes Only,Jack Slater,13 hrs and 22 mins
My Next Breath,Author not found,6 hrs and 35 mins
Syl: Osmosis,Lunadea,16 hrs
Shield of Sparrows,Devney Perry,19 hrs and 51 mins
LLC & S-Corporation Made Simple,Author not found,7 hrs and 33 mins
The History of the Medieval World,Susan Wise Bauer,22 hrs and 42 mins
Darkwater Lane,"Rachel Caine, Carrie Ryan",11 hrs and 29 mins
The Primal Hunter 2,Zogarth,19 hrs and 25 mins
A Locked Door at Netherfield,Laraba Kendig,10 hrs and 16 mins
The Anatomy of Us,Leah Hazard,6 hrs and 9 mins
The Jane Austen Collection,Jane Austen,45 hrs
"An Irish Village Mystery Bundle, Books 1-3",Carlene O'Connor,29 hrs and 55 mins
The Assassin's Blade,Sarah J. Maas,12 hrs and 52 mins
Magic Hour,Kristin Hannah,14 hrs and 38 mins
A Court of Wings and Ruin (10th Anniversary Recording),Sarah J. Maas,20 hrs and 49 mins
Someone to Witch Over Me,Amanda M. Lee,26 hrs and 14 mins
Cadaver: The Complete Zombie Apocalypse Series,Nick Clausen,36 hrs and 54 mins
Immortal by Morning,Lynsay Sands,8 hrs and 46 mins
Grave Situation,Louisa Masters,17 hrs and 28 mins
The Silent Corner,Dean Koontz,14 hrs and 26 mins
Keeping Laryn,Susan Stoker,9 hrs and 10 mins
Trailer Park Bikini Vampires,"Virgil Knightley, Edgar Riggs",12 hrs and 41 mins
The Shadow Rising,Robert Jordan,41 hrs and 13 mins
Natural Born Killers,Lucy Smoke,12 hrs and 10 mins
Amazing Winter Hiking,Nanette Fong,3 hrs and 59 mins
Project Hail Mary,Andy Weir,16 hrs and 10 mins
Rewind It Back,Liz Tomforde,13 hrs and 27 mins
Teasing Flames,Red Phoenix,6 hrs and 11 mins
The Eye of the World,Robert Jordan,29 hrs and 57 mins
"Secrets, Lies and Fireflies",Angie Fox,9 hrs and 1 min
The Alpha's Mystery,Reece Barden,6 hrs and 42 mins
Speak,Author not found,14 hrs and 42 mins
Haunting Adeline,H. D. Carlton,15 hrs and 49 mins
The Tenant,Freida McFadden,8 hrs and 50 mins
Quicksilver,Callie Hart,20 hrs and 41 mins
The Best Wrong Move,Lily Parker,9 hrs and 54 mins
The Wise Man's Fear,Patrick Rothfuss,42 hrs and 55 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 27 mins
Becoming Supernatural,Joe Dispenza,14 hrs and 6 mins
Nightshade,Michael Connelly,9 hrs and 3 mins
Tears of the Silenced,Misty Griffin,11 hrs and 38 mins
The Frozen River,Ariel Lawhon,15 hrs and 5 mins
Equation of Love,Author not found,1 hr and 39 mins
Virtual Real Estate Empire: Art of Profiting in the Metaverse,Author not found,3 hrs and 20 mins
When We Were Seventeen,Author not found,1 hr and 25 mins
An Unexpected Affair,Skye Von Triessen,9 hrs and 39 mins
Atomic Habits,James Clear,5 hrs and 35 mins
The Vagus Nerve Shortcut,Author not found,13 hrs and 20 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,77 hrs and 20 mins
Black American History,Author not found,22 hrs and 40 mins
Broken Country,Clare Leslie Hall,8 hrs and 57 mins
The Dragon Reborn,Robert Jordan,24 hrs and 48 mins
The Stubborn Skill-Grinder in a Time Loop,Author not found,24 hrs and 36 mins
A Witch's Guide to Magical Innkeeping,Sangu Mandanna,9 hrs and 53 mins
"The Mad Mick Box Set, Volume 3",Franklin Horton,29 hrs and 2 mins
Sex - Explicit Erotic Stories Box Set,Author not found,48 hrs and 36 mins
Sweet on the Royal Guard,Ana Ashley,1 hr and 14 mins
Secret Sister,Sarah A. Denzil,8 hrs and 48 mins
The Dragon Shifter's Mates Boxed Set Books 1-4,Eva Chase,23 hrs and 32 mins
The Primal Hunter,Zogarth,20 hrs and 9 mins
